UserID,Name,Surname,Email,Gender,Race,Age,AgeGroup,Province,Socials,Channel2,RecordDate2,TimeBucket,Duration
97,Lucas,Woolard,Lucas233@mail.com,male,coloured,48,Adults,Free State,@Lucas23,SuperSport Blitz,2016-02-04 04:40:00.000000,Morning,192
132,Carter,Wigfall,Carter33@mail.com,male,black,45,Adults,Gauteng,@Carter3,Boomerang,2016-01-11 20:55:00.000000,Evening,711
212,Kyle,Martello,Kyle63@mail.com,male,black,41,Adults,Gauteng,@Kyle6,CNN,2016-01-06 09:48:00.000000,Morning,361
249,Markus,Wigfall,Markus192@gmail.com,male,black,40,Adults,Gauteng,@Markus19,ICC Cricket World Cup 2011,2016-03-15 15:33:00.000000,Afternoon,560
649,Bret,Gettys,Bret313@mail.com,male,black,31,Young Adults,Mpumalanga,@Bret31,Channel O,2016-01-11 06:59:00.000000,Morning,300
850,Romeo,Crotty,Romeo373@mail.com,male,coloured,28,Young Adults,Western Cape,@Romeo37,E! Entertainment,2016-03-06 00:08:00.000000,Morning,440
991,Lane,Paradis,Lane111@yahoo.com,male,black,26,Young Adults,Gauteng,@Lane11,Cartoon Network,2016-01-20 13:43:00.000000,Afternoon,9
1373,Raymundo,Mina,Raymundo435@mailxyz.com,male,white,19,Young Adults,Kwazulu Natal,@Raymundo43,Cartoon Network,2016-02-28 10:38:00.000000,Morning,0
1445,Kip,Luthy,Kip141@yahoo.com,male,coloured,13,Teens,Northern Cape,@Kip14,CNN,2016-03-06 15:47:00.000000,Afternoon,33
3871,None,None,Adela222@gmail.com,None,None,0,Kids,None,None,ICC Cricket World Cup 2011,2016-03-30 17:02:00.000000,Afternoon,70
9194,Shane,Mina,Shane22@gmail.com,male,coloured,36,Adults,Western Cape,@Shane2,DStv Events 1,2016-01-19 18:55:00.000000,Evening,45
11883,None,None,Teresia484@abcmail.com,None,None,0,Kids,None,None,DStv Events 1,2016-01-08 06:12:00.000000,Morning,115
18031,Lillie,Langenfeld,Lillie463@mail.com,female,black,37,Adults,Gauteng,@Lillie46,CNN,2016-01-06 23:00:00.000000,Night,1491
18072,Art,Creager,Art402@gmail.com,male,white,37,Adults,Western Cape,@Art40,Cartoon Network,2016-01-16 17:09:00.000000,Afternoon,242
18136,Stephen,Sytsma,Stephen151@yahoo.com,male,coloured,35,Young Adults,Gauteng,@Stephen15,Cartoon Network,2016-01-22 10:26:00.000000,Morning,18
20315,None,None,Yolonda255@mailxyz.com,None,None,0,Kids,None,None,E! Entertainment,2016-03-30 18:07:00.000000,Evening,328
23925,Art,Pool,Art405@mailxyz.com,male,black,43,Adults,Kwazulu Natal,@Art40,DStv Events 1,2016-01-02 07:18:00.000000,Morning,95
24110,Adela,Vital,Adela201@yahoo.com,female,black,38,Adults,Eastern Cape,@Adela20,Africa Magic,2016-01-26 15:02:00.000000,Afternoon,99
27318,None,None,Bess32@gmail.com,None,None,0,Kids,None,None,ICC Cricket World Cup 2011,2016-03-26 18:48:00.000000,Evening,120
28115,Valentine,Sieren,Valentine472@gmail.com,male,black,44,Adults,Limpopo,@Valentine47,SuperSport Blitz,2016-01-30 05:18:00.000000,Morning,76
28240,Michel,Deblois,Michel203@mail.com,male,None,40,Adults,Gauteng,@Michel20,Cartoon Network,2016-03-20 15:30:00.000000,Afternoon,47
31162,None,None,Mellie505@mailxyz.com,None,None,0,Kids,None,None,Supersport Live Events,2016-03-19 17:19:00.000000,Afternoon,576
33103,Kip,Nicholls,Kip145@mailxyz.com,male,coloured,26,Young Adults,Gauteng,@Kip14,E! Entertainment,2016-01-06 03:41:00.000000,Morning,188
33773,None,None,Torrie294@abcmail.com,None,None,0,Kids,None,None,ICC Cricket World Cup 2011,2016-03-12 08:50:00.000000,Morning,8
36057,Efren,Styer,Efren131@yahoo.com,male,black,50,Adults,Eastern Cape,@Efren13,Africa Magic,2016-03-29 09:11:00.000000,Morning,240
39353,None,None,Rebekah374@abcmail.com,None,None,0,Kids,None,None,Trace TV,2016-01-05 01:54:00.000000,Morning,210
42284,Wilton,Bilyeu,Wilton413@mail.com,male,coloured,36,Adults,Northern Cape,@Wilton41,MK,2016-01-16 21:07:00.000000,Evening,99
45769,None,None,Emilie443@mail.com,None,None,0,Kids,None,None,ICC Cricket World Cup 2011,2016-03-12 11:28:00.000000,Morning,104
51888,Katharina,Condie,Katharina135@mailxyz.com,female,black,24,Young Adults,Mpumalanga,@Katharina13,Cartoon Network,2016-01-08 06:05:00.000000,Morning,34
56067,Eli,Shkreli,Eli292@gmail.com,male,black,26,Young Adults,Kwazulu Natal,@Eli29,CNN,2016-01-22 16:02:00.000000,Afternoon,22
56830,None,None,Reagan72@gmail.com,None,None,0,Kids,None,None,CNN,2016-01-01 17:03:00.000000,Afternoon,196
58907,None,None,Earline283@mail.com,None,None,0,Kids,None,None,Cartoon Network,2016-01-09 08:01:00.000000,Morning,83
60711,Bernardo,Gettys,Bernardo322@gmail.com,male,black,22,Young Adults,Gauteng,@Bernardo32,Channel O,2016-01-04 07:02:00.000000,Morning,30
61198,None,None,Reagan471@yahoo.com,None,None,0,Kids,None,None,Trace TV,2016-01-11 17:42:00.000000,Afternoon,39
63454,None,None,Emilie484@abcmail.com,None,None,0,Kids,None,None,CNN,2016-01-04 04:10:00.000000,Morning,800
